Freyja,66,Epic,1,Other,"January, 2024",16,Ground,Not Required,,,GR7D-GR4L,GR-DF&HP-wDO,GR-AT&DF-wLD,-,-,-,Special Event,-,-,-,6 - Ground,-,-,,,
Frigg,67,Epic,1,Other,"May, 2024",12,Ground,Not Required,,,GR1L-GR7L,GR-AT-wLD,GR-DF&HP-wLD,Tomyris,Theodora,Gnarr,General Token (Premium),-,-,-,6 - Ground,-,-,,,
Gaius Marius,68,Legendary,0,Europe,"December, 2017",90,Development,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,8 - Gathering,-,-,,,
Gaius Octavius,69,Epic,1,Europe,"August, 2021",46,Mounted,Not Required,,,MT1A-RA1A,MT-AT-wAT,RA-AT-wAT,-,-,-,General Token (Premium),General Token (GH2),-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Genghis Khan,70,Epic,1,Other,"June, 2018",84,Mixed,Not Required,,,MS-EM,MS,EM,-,-,-,Tavern,-,-,-,6 - Ground,10 - Siege,4 - Mounted,,,
George A. Custer,71,Epic,1,America,"June, 2022",35,Mounted,Not Required,,,MT1A-MS,MT-AT-wAT,MS,-,-,-,Relic Rewards,General Token (Premium),-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
George Dewey,72,Epic,1,America,"December, 2017",90,In-City Defense,Not Required,-,-,,,,-,-,-,Great General's Chest,General Token (Premium),-,-,1 - In-City Defense,-,-,,,
George Monck [D/S],73,Epic,1,Europe,"November, 2024",6,Mounted,Dragon/Spiritual Beast,,,MT1A-MT17A,MT-AT-wAT,MT&GR-DF&HP-wAT,Queen Victoria,Edward III,John Hunyadi,General Token (Premium),General Token (Glory),-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
George Monck [ND/S],74,Epic,0,Europe,"November, 2024",6,Mounted,No Dragon/Spiritual Beast,,,MT1A-MT17A,MT-AT-wAT,MT&GR-DF&HP-wAT,Queen Victoria,Edward III,John Hunyadi,General Token (Premium),General Token (Glory),-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Gilgamesh,75,Epic,1,Other,"February, 2023",27,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,2 - Subordinate City (PvP),-,-,,,
Gnarr,76,Epic,1,Other,"November, 2021",43,Ranged,Not Required,,,GR11A-RA1A,GR&MT-AT-wAT,RA-AT-wAT,-,-,-,Tavern,General Token (GH3),-,-,3 - Ranged,-,-,,,
Godfrey of Bouillon,77,Epic,1,Europe,"March, 2024",15,Ranged,Not Required,,,RA5L-RA12L,RA-AT&HP-wLD,RA&SG-DF-wLD,Richard the Lionheart,Baldwin IV,Philip II,General Token (Premium),-,-,-,3 - Ranged,-,-,,,
Guan Yu,78,Epic,1,China,"January, 2022",41,Ground,Not Required,,,GR1A-GR13A,GR-AT-wAT,GR&MT-HP-wAT,-,-,-,General Token (Premium),General Token (GH3),-,-,6 - Ground,-,-,,,
Guinevere,79,Epic,1,Europe,"February, 2024",15,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Gunther [D/S],80,Epic,1,Other,"April, 2024",13,Siege,Dragon/Spiritual Beast,,,SG4A-RA13A,SG-AT&DF-wAT,RA&SG-HP-wAT,Melisande,Douglas [D/S],Charles the Great,General Token (Premium),-,-,-,10 - Siege,-,-,,,
Gunther [ND/S],81,Epic,0,Other,"April, 2024",13,Siege,No Dragon/Spiritual Beast,,,SG4A-RA13A,SG-AT&DF-wAT,RA&SG-HP-wAT,Melisande,Douglas [D/S],Charles the Great,General Token (Premium),-,-,-,10 - Siege,-,-,,,
Gustavus Adolphus,82,Epic,1,Europe,"December, 2017",90,Mixed,Not Required,,,RA11L-RE-RA12L,RA&SG-AT-wLD,RE-RA&SG-DF-wLD,-,-,-,Tavern,-,-,-,10 - Siege,3 - Ranged,2 - Subordinate City (PvP),,,
Gwanggaeto the Great,83,Epic,1,Korea,"February, 2019",76,Mixed,Not Required,,,RA11L-EM,RA&SG-AT-wLD,EM,-,-,-,Tavern,Great General's Chest,-,-,3 - Ranged,10 - Siege,-,,,
Gwon Ryul,84,Epic,1,Korea,"August, 2019",70,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,9 - Duty Officer,-,-,,,
Hammurabi,85,Epic,1,Europe,"October, 2022",31,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Hannibal,86,Epic,1,Other,"November, 2021",43,Mounted,Not Required,,,MT11A-MT1A,MT&GR-AT-wAT,MT-AT-wAT,-,-,-,Tavern,-,-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Harold,87,Epic,1,Europe,"December, 2017",90,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,2 - Subordinate City (PvP),-,-,,,
Harold III,88,Epic,1,Europe,"April, 2022",38,Mixed,Not Required,,,RA1L-GR2L,RA-AT-wLD,GR-DF-wLD,-,-,-,General Token (Premium),General Token (GH2),-,-,3 - Ranged,-,-,,,
Harun Al-Rashid,89,Legendary,0,Arabia,"December, 2017",90,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,11 - Subordinate City (Pce),-,-,,,
Henry V,90,Epic,1,Europe,"January, 2022",41,Ranged,Not Required,,,RA1L-RA7L,RA-AT-wLD,RA-DF&HP-wLD,-,-,-,General Token (Premium),-,-,-,3 - Ranged,-,-,,,
Hera,91,Epic,1,Other,"May, 2024",12,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Heraclius,92,Epic,1,Europe,"June, 2023",23,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Hernando Cortes,93,Legendary,0,Europe,"December, 2017",90,Development,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,7 - Monsters (Treasure),-,-,,,
Hestia [D/S],94,Epic,1,Other,"May, 2024",12,Mounted,Dragon/Spiritual Beast,,,MT4A-MT13A,MT-AT&DF-wAT,MT&GR-HP-wAT,Flavius Aetius,Zucca,Poligenus,General Token (Premium),-,-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Hestia [ND/S],95,Epic,0,Other,"May, 2024",12,Mounted,No Dragon/Spiritual Beast,,,MT4A-MT13A,MT-AT&DF-wAT,MT&GR-HP-wAT,Flavius Aetius,Zucca,Poligenus,General Token (Premium),-,-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Himiko,96,Epic,1,Japan,"August, 2019",70,Ranged,Not Required,,,RE-MT1L-RA4L,RE-MT-AT-wLD,RA-AT&DF-wLD,-,-,-,Tavern,Great General's Chest,General Token (GH3),-,2 - Subordinate City (PvP),3 - Ranged,-,,,
Hojo Ujiyasu,97,Epic,1,Japan,"March, 2023",26,Subordinate City,Not Required,-,-,-,-,-,-,-,-,General Token (Glory),General Token (Premium),General Token (GH2),-,2 - Subordinate City (PvP),-,-,,,
Honda Tadakatsu,98,Epic,1,Japan,"December, 2017",90,Mounted,Not Required,,,RE-GR11L-MT1L,RE-GR&MT-AT-wLD,MT-AT-wLD,-,-,-,Tavern,Great General's Chest,General Token (GH2),-,4 - Mounted,5 - Monsters (Pushing),2 - Subordinate City (PvP),,,
Huo Qubing,99,Epic,1,China,"December, 2017",90,Development,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,7 - Monsters (Treasure),-,-,,,
Idunn,100,Epic,1,Other,"January, 2024",16,Ranged,Not Required,,,RA17D-RA1L,RA&SG-DF&HP-wDO,RA-AT-wLD,-,-,-,Special Event,-,-,-,3 - Ranged,-,-,,,
Ii Naomasa,101,Epic,1,Japan,"October, 2022",32,Mounted,Not Required,,,MT1L-MT3L,MT-AT-wLD,MT-HP-wLD,-,-,-,Relic Rewards,General Token (Premium),General Token (GH2),-,6 - Ground,-,-,,,
Isaac Brock,102,Epic,1,Europe,"April, 2024",13,In-City Defense,Not Required,-,-,,,,Edward the Black Prince,William Marshal,John Churchill,General Token (Premium),-,-,-,1 - In-City Defense,-,-,,,
Isabella I [D],103,Epic,1,Europe,"May, 2019",73,Mixed,Dragon,,,SG31A-MS,SG&MT-AT-wAT,MS,-,-,-,Tavern,Great General's Chest,General Token (GH3),-,10 - Siege,4 - Mounted,7 - Monsters (Treasure),,,
Isabella I [ND],104,Epic,0,Europe,"May, 2019",73,Mixed,No Dragon,,,SG31A-MS,SG&MT-AT-wAT,MS,-,-,-,Tavern,Great General's Chest,General Token (GH3),-,10 - Siege,4 - Mounted,7 - Monsters (Treasure),,,
Jadwiga,105,Epic,1,Europe,"February, 2020",64,In-City Defense,Not Required,-,-,,,,-,-,-,Tavern,General Token (GH3),-,-,1 - In-City Defense,-,-,,,
James Bowie,106,Epic,1,America,"February, 2019",76,In-City Defense,Not Required,-,-,,,,-,-,-,Tavern,Great General's Chest,-,-,1 - In-City Defense,-,-,,,
James Conrad,107,Epic,1,Other,"November, 2022",31,Ranged,Not Required,,,RA1A-RA7A,RA-AT-wAT,RA-DF&HP-wAT,-,-,-,Not Available,-,-,-,3 - Ranged,-,-,,,
Jan Karol Chodkiewicz,108,Epic,1,Europe,"April, 2023",25,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,2 - Subordinate City (PvP),-,-,,,
Jayavarman II,109,Epic,1,Other,"February, 2024",15,Mounted,Not Required,,,MT1A-MT17A,MT-AT-wAT,MT&GR-DF&HP-wAT,Martinus [D],Ly Thuong Kiet,Tran Hung Dao,General Token (Premium),-,-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Jefferson,110,Legendary,0,America,"December, 2017",90,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,11 - Subordinate City (Pce),-,-,,,
Jester,111,Epic,1,Other,"June, 2018",84,Subordinate City,Not Required,-,-,-,-,-,-,-,-,April 1st,-,-,-,2 - Subordinate City (PvP),-,-,,,
Jiang Ziya,112,Epic,1,China,"January, 2023",28,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
John Adams,113,Epic,1,America,"June, 2024",11,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
John Churchill,114,Epic,1,Europe,"March, 2023",27,Siege,Not Required,,,SG1A-RC,SG-AT-wAT,RC,-,-,-,General Token (Glory),General Token (Premium),-,-,10 - Siege,-,-,,,
John Hunyadi,115,Epic,1,Europe,"December, 2023",17,Siege,Not Required,,,RA11A-SG7A,RA&SG-AT-wAT,SG-DF&HP-wAT,Matthias I,Jadwiga,Suleiman the Magnificent,General Token (Premium),-,-,-,10 - Siege,-,-,,,
John I of Portugal,116,Epic,1,Europe,"September, 2019",69,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Tavern,Great General's Chest,General Token (GH2),-,9 - Duty Officer,-,-,,,
Jumong,117,Epic,1,Korea,"June, 2018",84,Ranged,Not Required,,,RA1L-EM,RA-AT-wLD,EM,-,-,-,Tavern,-,-,-,3 - Ranged,-,-,,,
Justinian I,118,Epic,1,Europe,"August, 2023",21,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Khalid,119,Epic,1,Arabia,"November, 2018",79,Siege,Not Required,,,SG1L-MT1L,SG-AT-wLD,MT-AT-wLD,-,-,-,Tavern,-,-,-,10 - Siege,4 - Mounted,5 - Monsters (Pushing),,,
King Arthur,120,Epic,1,Europe,"May, 2018",85,Mounted,Not Required,,,MS-MT4A,MS,MT-AT&DF-wAT,-,-,-,Tavern,-,-,-,4 - Mounted,5 - Monsters (Pushing),3 - Ranged,,,
King Sejong,121,Epic,1,Korea,"December, 2017",90,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,11 - Subordinate City (Pce),2 - Subordinate City (PvP),-,,,
Kleos,122,Epic,1,Other,"August, 2023",22,Siege,Not Required,,,SG5A-MS,SG-AT&HP-wAT,MS,-,-,-,Special Event,-,-,-,10 - Siege,-,-,,,
Kusunoki Masashige,123,Epic,1,Japan,"August, 2020",58,In-City Defense,Not Required,-,-,,,,-,-,-,Tavern,General Token (GH2),-,-,1 - In-City Defense,-,-,,,
Laudon,124,Epic,1,Europe,"September, 2023",20,Mounted,Not Required,,,MT1L-MT7L,MT-AT-wLD,MT-DF&HP-wLD,-,-,-,General Token (Glory),General Token (Premium),-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Lautaro,125,Epic,1,Other,"January, 2023",29,In-City Defense,Not Required,-,-,,,,-,-,-,General Token (Premium),General Token (GH2),-,-,1 - In-City Defense,-,-,,,
Leo III,126,Epic,1,Europe,"October, 2021",44,In-City Defense,Not Required,-,-,,,,-,-,-,General Token (Glory),General Token (Premium),General Token (GH2),-,1 - In-City Defense,-,-,,,
Leonidas I,127,Epic,1,Europe,"June, 2021",48,In-City Defense,Not Required,-,-,,,,-,-,-,General Token (Premium),General Token (GH2),-,-,1 - In-City Defense,-,-,,,
Li Jing,128,Epic,1,China,"September, 2018",81,Mounted,Not Required,,,MT1L-EM,MT-AT-wLD,EM,-,-,-,Tavern,Great General's Chest,-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Li Shimin,129,Epic,1,China,"December, 2017",90,Ranged,Not Required,,,RA1L-MS,RA-AT-wLD,MS,-,-,-,Tavern,-,-,-,3 - Ranged,-,-,,,
